,Job_name,Company_name
447, Texniki Dəstək Şöbəsinin Mütəxəssisi ,  Express Bank 
448, Korporativ Katib ,  North West Construction 
449, Analitik/Monitorinq üzrə mütəxəssis ,  North West Construction 
450, İcma səfərbərliyi üzrə mütəxəssis ,  Qaçqınların və Məcburi Köçkünlərin İşləri üzrə Dövlət Komitəsi 
451, Senior Control & Instrumentation Engineer ,  PD&MS Group 
452, Mühasib ,  Grand Logistics Center 
453, Mühasib-operator (Xaçmaz) , A A+Co ASC 
458, Помошник Кост –Контроля ,  Restaurants by Emin Agalarov 
459, Satış təmsilçisi , R Retailor LLC 
460, Rentgen texniki , R Referans CLC 
461, Marketing manager ,  Salam Doktor Digital 
462, Marketoloq (SMM) ,  Capital Construction 
463, Forklift operatoru (Gəncə) , A AzerBlast MMC 
464, İT üzrə mütəxəssis ,  Kristal Abşeron 
465, İT texnik (kameralar üzrə) ,  Kristal Abşeron 
466, Innovation Analyst ,  PASHA Holding 
467, SOHO Sales Specialist , A Azerfon 
468, 3D Designer ,  Baku Shipyard LLC 
469, Mühasib , A Azəristiliktəchizat ASC 
470, Satıcı-Kassir (ağır texnikaların ehtiyyat hissələrinin satışı) , S Shinkar Holding 
471, Maliyyə üzrə təcrübəçi , M Mazarina Trade Company 
472, İnşaat mühəndisi ,  ATEF Şirkətlər Qrupu 
473, Smeta Mühəndisi ,  ATEF Şirkətlər Qrupu 
474, Smeta mühəndisi , A Aqroman 
475, Finance Specialist , A Advanced Industrial Solutions 
476, Auditor , A Army Group 
477, Aparıcı mühasib , A Army Group 
478, Sayım rəhbəri , A Army Group 
479, Story maker , V Vafa Aesthetic Clinic 
480, Satış meneceri , V Vafa Aesthetic Clinic 
481, Qeydiyyatçı , V Vafa Aesthetic Clinic 
482, İnsan resursları şöbə rəhbəri (Sumqayıt) ,  MKT İstehsalat Kommersiya MMC 
483, Assistant Buyer ,  PD&MS Group 
484, Logistika və Beynəlxalq yük daşımalar üzrə Mühasib , A Amoris 
485, Karyera məsləhətçisi ,  Div Academy 
486, Receptionist (Male) ,  North West Construction 
487, Satış nümayəndəsi , M Mazarina Trade Company 
488, Vergi uçotu üzrə mühasib ,  Araz Supermarket 
489, HR Manager ,  Div Academy 
490, Satış təmsilçisi ,  Money4you.financial MMC 
491, Xidmət mərkəzi işçisi ,  Money4you.financial MMC 
492, Biznes xidmət üzrə mütəxəssis ,  Express Bank 
493, Online Vizual Merçendayzer ,  Sinteks Group of Companies 
495, Leading Lawyer ,  General Supply 
496, Corporate Sales Internship Program ,  DEFSCOPE LLC 
497, Texniki ofis mühəndisi ,  Özgün İnşaat Taahhüt Sanayi ve Ticaret 
498, Onlayn satış üzrə kiçik mütəxəssis/mütəxəssis/aparıcı /baş mütəxəssis ,  TuranBank ASC 
499, CRM - Birbaşa satışlar üzrə kiçik mütəxəssis/mütəxəssis ,  TuranBank ASC 
500, İstehlak kreditləri üzrə kiçik mütəxəssis/mütəxəssis/aparıcı/baş mütəxəssis ,  TuranBank ASC 
501, Məlumat mərkəzi üzrə kiçik mütəxəssis/mütəxəssis/aparıcı/baş mütəxəssis ,  TuranBank ASC 
502, Problemli müştərilərlə iş üzrə təqibçi ,  Baku Electronics 
503, Etika və Uyğunluq üzrə Məmur (Ethics and Compliance Officer) ,  Norm OJSC 
504, Инструктор по мобильному приложению ,  Competo 
505, Kredit işçisi ,  Azərbaycan Mikro Kredit BOKT 
506, Sales manager ,  Cubics Technology 
507, Planning&Purchasing Specialist ,  Baku Electronics 
508, Financial Accountant ,  Azerbaijan SuperMarket 
